| Name | Home Institution |
| Shannon M. Duff | National Institute for Standards and Technology (NIST) |
| Adriaan J. Duivenvoorden | Max Planck Institute for Astrophysics |
| Jo Dunkley | Princeton University |
| Merry Duparc | Université Paris-Saclay |
| Daniel Dutcher | Princeton University |
| Rolando Dünner | Pontificia Universidad Catolica de Chile |
| Madeleine Edenton | University of Virginia |
| Hamza El Bouhargani | Princeton University |
| Carmen Embil Villagra | University of Cambridge |
| Hans Kristian Eriksen | University of Oslo |
| Josquin Errard | Université Paris Cité |
| Giulio Fabbian | Université Paris-Saclay |
| Valentina Fanfani | University of Milano-Bicocca |
| Farshid Farhadi Khouzani | University of Nevada |
| Gerrit S. Farren | Lawrence Berkeley National Laboratory |
| James Fergusson | University of Cambridge |
| Simone Ferraro | Lawrence Berkeley National Laboratory |
| Raphael Flauger | University of California, San Diego |
| Anthony Flores | Rutgers |
| Matteo Forconi | University of Ferrara |
| Allen Foster | Princeton University |
| Katherine Freese | University of Texas at Austin |
| Andrei Frolov | Simon Fraser University |
| George Fuller | University of California, San Diego |
| Nicholas Galitzki | University of Texas at Austin |
| Patricio A. Gallardo | University of Chicago |
| Giacomo Galloni | University of Ferrara |
| Ken Ganga | Université Paris Cité |
| Xavier Garrido | Université Paris-Saclay |
| Eric Gawiser | Rutgers |
| Eliza Gazda | University of California, Riverside |
| Martina Gerbino | University of Ferrara |
| Remington Gerras | University of Southern California |
| Shamik Ghosh | Lawrence Berkeley National Laboratory |
| Serena Giardiello | Cardiff University |
| Ajay Gill | University of Toronto |
| Valerio Gilles | University of Manchester |
| Utkarsh Giri | Perimeter Institute |
| Ellie Gleave | Imperial College London |
| Vera Gluscevic | University of Southern California |
| Samuel Goldstein | Columbia University |
| Joseph E. Golec | University of Chicago |
| Cameron Graham | University of Chicago |
| Megan Gralla | University of Arizona |
| Steven Gratton | University of Cambridge |
| Daniel Green | University of California, San Diego |
| John C. Groh | Lawrence Berkeley National Laboratory |
| Chris Groppi | Arizona State University |
| Samantha Grubb | University of Pennsylvania |
| Yilun Guan | University of Toronto |
| Jon E. Guðmundsson | University of Iceland |
| Boryana Hadzhiyska | University of California, Berkeley |
| Mark Halpern | University of British Columbia |
| Peter Hargrave | Cardiff University |
| Saianeesh Haridas | University of Pennsylvania |
| Kathleen Harrington | University of Chicago |
| Ian Harrison | Cardiff University |
| Masaya Hasegawa | High Energy Accelerator Research Organization (KEK) |
| Matthew Hasselfield | Flatiron Institute |
| Makoto Hattori | Tohoku University |
| Masashi Hazumi | High Energy Accelerator Research Organization (KEK) |
| Adam He | University of Southern California |
| Erin Healy | University of Chicago |
| Shawn W. Henderson | Stanford University |
| Brandon S. Hensley | California Institute of Technology |
| Emilie Hertig | University of Cambridge |
| Carlos Hervías-Caimapo | Pontificia Universidad Catolica de Chile |
| Masaki Higuchi | University of Tokyo |
| J. Colin Hill | Columbia University |
| Matt Hilton | University of KwaZulu-Natal |
| Adam D. Hincks | University of Toronto |
| Gary Hinshaw | University of British Columbia |
| Renée Hložek | University of Toronto |
| Anna Y. Q. Ho | Cornell University |
| Shirley Ho | Flatiron Institute |
| Joe Holder | University of Manchester |
| John Hood | University of Chicago |
| Erika Hornecker | University of Toronto |
| Amber L. Hornsby | University of Manchester |
| Selim C. Hotinli | Perimeter Institute |
| Zhiqi Huang | Sun Yat-Sen University |
| Zachary B. Huber | Cornell University |
| Johannes Hubmayr | National Institute for Standards and Technology (NIST) |
| Kevin Huffenberger | Texas A&M University |
| Aaron Hughes | Texas A&M University |
| John P. Hughes | Rutgers |
| Anto Idicherian Lonappan | University of California, San Diego |
| Margaret Ikape | University of Toronto |
| Kouki Inaba | University of Tokyo |
| Kent Irwin | Stanford University |
| Giovanni Isopi | University of Rome, La Sapienza |
| Jeff Iuliano | University of Pennsylvania |
| Andrew H. Jaffe | Imperial College London |
| Bhuvnesh Jain | University of Pennsylvania |
| Divesh Jain | University of Manchester |
| Hidde T. Jense | Cardiff University |
| Oliver Jeong | University of California, Berkeley |
| Alyssa Johnson | University of California, San Diego |
| Bradley R. Johnson | University of Virginia |
| Matthew Johnson | Perimeter Institute |
| Michael E Jones | University of Oxford |
| Neha Joshi | University of Pennsylvania |
| Baptiste Jost | University of Tokyo |
| Wassim Kabalan | Université Paris Cité |
| Joshua Kable | Rutgers |
| Varun Kabra | University of California, Berkeley |
| Daisuke Kaneko | High Energy Accelerator Research Organization (KEK) |
| Joseph Kania | University of Manchester |
| Kaitlyn Karpovich | Stanford University |
| Yutaro Kasai | Kyoto University |
| Brian Keating | University of California, San Diego |
| Ben Keller | Cornell University |
| Reijo Keskitalo | Lawrence Berkeley National Laboratory |
| Ashesh Abhisek Khatua | University of Iceland |
| Joshua Kim | University of Pennsylvania |
| Theodore Kisner | Lawrence Berkeley National Laboratory |
| Kenji Kiuchi | University of Tokyo |
| Kenda Knowles | University of KwaZulu-Natal |
| Anna M. Kofman | University of Pennsylvania |
| Yu Koizumi | University of Tokyo |
| Brian J. Koopman | Yale University |
| Arthur Kosowsky | University of Pittsburgh |
| Raphael Kou | University of Sussex |
| Michael Kovac | University of Manchester |
| Nicoletta Krachmalnicoff | International School for Advanced Studies (SISSA) |
| Darby Kramer | University of Arizona |
| Aditi Krishak | University of Southern California |
| Alex Krolewski | University of California, Berkeley |
| Akito Kusaka | Lawrence Berkeley National Laboratory |
| Aleksandra Kusiak | University of Cambridge |
| Yurii Kvasiuk | University of Wisconsin-Madison |
| Paul La Plante | University of Nevada |
| Adrien La Posta | University of Oxford |
| Alex Laguë | University of Pennsylvania |
| Anderson Lai | University of Wisconsin-Madison |
| Andrea Landais | Université Paris Cité |
| Massimiliano Lattanzi | University of Ferrara |
| Adrian Lee | University of California, Berkeley |
| Daniel Lee | University of Texas at Austin |
| Eunseong Lee | University of Pennsylvania |
| Jamie Leech | University of Oxford |
| Louis Legrand | University of Cambridge |
| Clément Leloup | Université Paris-Saclay |
| Claire Lessler | University of Chicago |
| Jason S.-Y. Leung | Imperial College London |
